order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00001,1,451,CUST_0451,2023-11-03,2023-02-26T17:56:00.000Z,PROD_172,22,5,1,185.04,227.49,1028.61,593.15,0.00,49.99,0.00,processing,,paypal,57 Oak Ave,,TRK715963
ORD_00002,2,406,CUST_0406,12/23/2023,,PROD_106,135,7,1,378.98,338.57,610.32,190.22,0.00,40.11,0.00,pending,CANCELLED,bank_transfer,1332 Main St,,TRK563045
ORD_00003,3,303,CUST_0303,9/22/2023,2023-06-18T13:25:00.000Z,PROD_041,68,3,2,65.29,150.51,621.96,70.67,0.00,42.00,41.25,CANCELLED,CANCELLED,credit_card,9497 Main St,,
ORD_00004,4,80,CUST_0080,,2023-09-28T04:58:00.000Z,PROD_139,6,6,4,486.37,210.35,834.29,657.00,22.77,12.12,0.00,CANCELLED,CANCELLED,debit_card,1006 Main St,,TRK289234
ORD_00005,5,5,CUST_0005,2023-07-25,2023-02-17T18:54:00.000Z,PROD_003,153,6,1,193.46,75.01,528.92,467.30,10.70,11.12,0.00,pending,pending,debit_card,64 Pine Rd,Special delivery instructions,TRK248324
ORD_00006,6,441,CUST_0441,8/24/2023,2023-04-20T22:55:00.000Z,PROD_195,62,3,3,261.62,347.11,233.20,758.24,0.00,13.52,0.00,pending,delivered,debit_card,1427 Main St,,
ORD_00007,7,178,CUST_0178,2023-10-25,2023-02-01T08:35:00.000Z,PROD_027,71,2,1,100.80,350.05,937.38,256.81,18.86,19.79,0.00,SHIPPED,returned,credit_card,3644 Pine Rd,,TRK655587
ORD_00008,8,308,CUST_0308,2023-02-03,,PROD_131,119,8,5,222.49,364.76,219.07,820.73,0.00,11.64,0.00,SHIPPED,pending,paypal,1981 Pine Rd,,TRK973932
ORD_00009,9,313,CUST_0313,11/22/2023,,PROD_088,159,7,3,207.23,30.99,125.15,728.35,8.10,5.05,0.00,delivered,delivered,debit_card,919 Main St,,
ORD_00010,10,403,CUST_0403,9/5/2023,,PROD_113,71,10,5,377.82,134.23,285.47,493.48,10.65,19.95,0.00,SHIPPED,,paypal,827 Main St,,
ORD_00011,11,273,CUST_0273,2023-09-19,2023-06-24T05:00:00.000Z,PROD_088,82,6,3,501.56,362.18,929.86,80.75,0.00,31.19,0.00,CANCELLED,,paypal,1446 Main St,,
ORD_00012,12,390,CUST_0390,11/12/2023,2023-12-28T01:22:00.000Z,PROD_106,29,7,3,301.71,166.43,927.62,245.71,0.00,3.21,45.16,returned,CANCELLED,bank_transfer,483 Main St,,TRK296888
ORD_00013,13,397,CUST_0397,,2023-02-16T17:41:00.000Z,PROD_092,153,5,3,499.04,152.57,205.45,332.13,0.00,4.97,7.56,processing,CANCELLED,debit_card,2797 Oak Ave,,TRK222033
ORD_00014,14,225,CUST_0225,2023-01-14,2023-03-16T07:21:00.000Z,PROD_140,195,1,3,192.88,164.47,848.03,760.88,12.49,18.48,40.62,,returned,credit_card,5638 Pine Rd,,TRK100563
ORD_00015,15,202,CUST_0202,2023-06-22,2023-11-10T17:43:00.000Z,PROD_048,96,8,3,65.66,214.31,306.25,340.12,11.39,39.17,8.75,delivered,pending,paypal,8387 Main St,,
ORD_00016,16,56,CUST_0056,2023-07-02,2023-11-20T18:25:00.000Z,PROD_042,106,4,5,327.52,77.88,1024.74,94.82,13.99,38.80,0.00,delivered,delivered,cash,3543 Oak Ave,,
ORD_00017,17,375,CUST_0375,,2023-02-26T15:16:00.000Z,PROD_145,92,2,5,344.07,356.19,221.22,390.77,0.00,14.50,32.68,delivered,,cash,5846 Oak Ave,,TRK808462
ORD_00018,18,4,CUST_0004,7/15/2023,2023-05-10T04:31:00.000Z,PROD_101,123,10,3,17.03,275.32,636.82,621.87,15.42,9.54,0.00,delivered,pending,cash,6410 Pine Rd,,TRK663992
ORD_00019,19,216,CUST_0216,,,PROD_054,129,4,3,387.19,41.92,334.47,641.86,18.54,40.01,0.00,returned,,bank_transfer,9713 Oak Ave,,TRK523356
ORD_00020,20,138,CUST_0138,2023-04-08,2023-07-05T13:37:00.000Z,PROD_102,21,10,2,352.47,346.57,369.61,593.01,21.09,18.49,0.00,delivered,CANCELLED,debit_card,7148 Main St,,TRK654866
ORD_00021,21,459,CUST_0459,8/26/2023,2023-04-22T22:07:00.000Z,PROD_108,114,3,2,61.47,204.75,139.87,53.59,15.14,33.30,0.00,SHIPPED,CANCELLED,cash,5644 Pine Rd,,TRK912718
ORD_00022,22,148,CUST_0148,4/20/2023,2023-02-09T12:04:00.000Z,PROD_140,54,4,5,156.92,231.34,938.49,376.77,20.33,10.67,0.00,SHIPPED,pending,bank_transfer,108 Main St,,
